authors,description,hash,isbn10,isbn13,publication_date,site,tags,title,url,year
['Marc Gregoire'],"Expand your C++ knowledge quickly and efficiently with this advanced resource

In the newly revised sixth edition of Professional C++, veteran software engineer and developer Marc Gregoire delivers yet another volume that raises the bar for advanced programming manuals. Covering almost all features of the new C++ standard codenamed C++23, the book offers case studies with working code that’s been tested on Windows and Linux.

As the leading resource for dedicated and knowledgeable professionals seeking to advance their C++ skills, this book provides resources that help readers:

Master new features of the latest standard, C++23
Maximize C++ capabilities with effective design solutions
Discover little-known elements and learn about pitfalls and what practices to avoid
Grasp testing and debugging best practices
Learn about tips and tricks for efficiency and performance

C++ is a complex language. Professional C++, 6th Edition, allows dedicated practitioners to remain current and abreast of the latest developments and advances.

Read more",77c72a78c286da455ed39a6e7ac6e9099e28d4b17e133d6e78176e01ce062700,1394193173,978-1394193172,"February 13, 2024",amazon,"['C Programming Language', 'Object-Oriented Design', 'Software Development']",Professional C++ (Tech Today),https://www.amazon.com/dp/1394193173,2024
['Stephen C. Dewhurst'],"C++ Common Knowledge covers essential but commonly misunderstood topics in C++ programming and design while filtering out needless complexity in the discussion of each topic. What remains is a clear distillation of the essentials required for production C++ programming, presented in the author's trademark incisive, engaging style.
Read more",fcdfb0fe59e75d1a6dbe2790c72418d8a4872a02e71836475b4a97652e05898a,0321321928,978-0321321923,"February 28, 2005",amazon,"['C++ Programming Language', 'Computer Programming Languages', 'Computer Software']",C++ Common Knowledge: Essential Intermediate Programming: Essential Intermediate Programming,https://www.amazon.com/dp/0321321928,2005
"['D. Ryan Stephens', 'Christopher Diggins', 'Jonathan Turkanis']","Despite its highly adaptable and flexible nature, C++ is also one of the more complex programming languages to learn. Once mastered, however, it can help you organize and process information with amazing efficiency and quickness.

The C++ Cookbook will make your path to mastery much shorter. This practical, problem-solving guide is ideal if you're an engineer, programmer, or researcher writing an application for one of the legions of platforms on which C++ runs. The algorithms provided in C++ Cookbook will jump-start your development by giving you some basic building blocks that you don't have to develop on your own.

Less a tutorial than a problem-solver, the book addresses many of the most common problems you're likely encounter--whether you've been programming in C++ for years or you're relatively new to the language. Here are just some of the time-consuming tasks this book contains practical solutions for:

Reading the contents of a directory
Creating a singleton class
Date and time parsing/arithmetic
String and text manipulation
Working with files
Parsing XML
Using the standard containers

Typical of O'Reilly's ""Cookbook"" series, C++ Cookbook is written in a straightforward format, featuring recipes that contain problem statements and code solutions, and apply not to hypothetical situations, but those that you're likely to encounter. A detailed explanation then follows each recipe in order to show you how and why the solution works. This question-solution-discussion format is a proven teaching method, as any fan of the ""Cookbook"" series can attest to. This book will move quickly to the top of your list of essential C++ references.

Read more",305525d0d27e362a8e16230090b121dc8ece5a817404405c2a162d47d8981839,0596007612,978-0596007614,"December 13, 2005",amazon,"['C++ Programming Language', 'Software Development', 'Computer Software']",C++ Cookbook: Solutions and Examples for C++ Programmers,https://www.amazon.com/dp/0596007612,2005
['Scott Meyers'],"“Every C++ professional needs a copy of Effective C++. It is an absolute must-read for anyone thinking of doing serious C++ development. If you’ve never read Effective C++ and you think you know everything about C++, think again.”
― Steve Schirripa, Software Engineer, Google “C++ and the C++ community have grown up in the last fifteen years, and the third edition of Effective C++ reflects this. The clear and precise style of the book is evidence of Scott’s deep insight and distinctive ability to impart knowledge.”
― Gerhard Kreuzer, Research and Development Engineer, Siemens AG

The first two editions of Effective C++ were embraced by hundreds of thousands of programmers worldwide. The reason is clear: Scott Meyers’ practical approach to C++ describes the rules of thumb used by the experts ― the things they almost always do or almost always avoid doing ― to produce clear, correct, efficient code.

The book is organized around 55 specific guidelines, each of which describes a way to write better C++. Each is backed by concrete examples. For this third edition, more than half the content is new, including added chapters on managing resources and using templates. Topics from the second edition have been extensively revised to reflect modern design considerations, including exceptions, design patterns, and multithreading.

Important features of Effective C++ include:

Expert guidance on the design of effective classes, functions, templates, and inheritance hierarchies.
Applications of new “TR1” standard library functionality, along with comparisons to existing standard library components.
Insights into differences between C++ and other languages (e.g., Java, C#, C) that help developers from those languages assimilate “the C++ way” of doing things.
Read more",70c68492b6a2b2679f758a8ad30c0f0aca69eb553fc25733a3629dfe17a82b9e,0321334876,978-0321334879,"May 12, 2005",amazon,"['C++ Programming Language', 'Software Development', 'Computer Software']",Effective C++: 55 Specific Ways to Improve Your Programs and Designs,https://www.amazon.com/dp/0321334876,2005
['Scott Meyers'],"“This is Effective C++ volume three – it’s really that good.”
– Herb Sutter, independent consultant and secretary of the ISO/ANSI C++ standards committee “There are very few books which all C++ programmers must have. Add Effective STL to that list.”
– Thomas Becker, Senior Software Engineer, Zephyr Associates, Inc., and columnist, C/C++ Users Journal

C++’s Standard Template Library is revolutionary, but learning to use it well has always been a challenge. Until now. In this book, best-selling author Scott Meyers (Effective C++, and More Effective C++) reveals the critical rules of thumb employed by the experts – the things they almost always do or almost always avoid doing – to get the most out of the library.

Other books describe what’s in the STL. Effective STL shows you how to use it. Each of the book’s 50 guidelines is backed by Meyers’ legendary analysis and incisive examples, so you’ll learn not only what to do, but also when to do it – and why.

Highlights of Effective STL include:

Advice on choosing among standard STL containers (like vector and list), nonstandard STL containers (like hash_set and hash_map), and non-STL containers (like bitset).
Techniques to maximize the efficiency of the STL and the programs that use it.
Insights into the behavior of iterators, function objects, and allocators, including things you should not do.
Guidance for the proper use of algorithms and member functions whose names are the same (e.g., find), but whose actions differ in subtle (but important) ways.
Discussions of potential portability problems, including straightforward ways to avoid them.

Like Meyers’ previous books, Effective STL is filled with proven wisdom that comes only from experience. Its clear, concise, penetrating style makes it an essential resource for every STL programmer.

Read more",dce5c8595ba7e93624171dd403bdc902163ba553d7c310576bbef64e9df8d8f9,0201749629,978-0201749625,"June 6, 2001",amazon,"['C++ Programming Language', 'Computer Programming Languages', 'Computer Software']",Effective STL: 50 Specific Ways to Improve Your Use of the Standard Template Library,https://www.amazon.com/dp/0201749629,2001
['Herb Sutter'],"The puzzles and problems in Exceptional C++ not only entertain, they will help you hone your skills to become the sharpest C++ programmer you can be. Many of these problems are culled from the famous Guru of the Week feature of the Internet newsgroup comp.lang.c++, moderated, expanded and updated to conform to the official ISO/ANSI C++ Standard.
Try your skills against the C++ masters and come away with the insight and experience to create more efficient, effective, robust, and portable C++ code.
Read more",f7bad34d18525baa92bd67a47d5736988afdddde5486c7036f13f3153185e96a,0201615622,978-0201615623,"November 18, 1999",amazon,"['C++ Programming Language', 'Computer Programming Languages', 'Computer Software']","Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions",https://www.amazon.com/dp/0201615622,1999
['Herb Sutter'],"Picks up where the widely acclaimed Exceptional C++ leaves off, providing successful strategies for solving real-world problems in C++. Promotes the practical and pragmatic understanding of the language while showing you how to write exceptional code in C++. Softcover.
Read more",2114b675c45e67680f95c20f2d980c89f03ab94906f28b44745cdff4820a5364,020170434X,978-0201704341,"December 17, 2001",amazon,"['C++ Programming Language', 'Computer Software', 'Marketing']","More Exceptional C++: 40 New Engineering Puzzles, Programming Problems, and Solutions",https://www.amazon.com/dp/020170434X,2001
"['Herb Sutter', 'John Fuller']","Software ""style"" is about finding the perfect balance between overhead and functionality... elegance and maintainability... flexibility and excess. In Exceptional C++ Style, legendary C++ guru Herb Sutter presents 40 new programming scenarios designed to analyze not only the what but the why and help you find just the right balance in your software.

Organized around practical problems and solutions, this book offers new insight into crucial C++ details and interrelationships, and new strategies for today's key C++ programming techniques--including generic programming, STL, exception safety, and more. You'll find answers to questions like:

What can you learn about library design from the STL itself?
How do you avoid making templated code needlessly non-generic?
Why shouldn't you specialize function templates? What should you do instead?
How does exception safety go beyond try and catch statements?
Should you use exception specifications, or not?
When and how should you ""leak"" the private parts of a class?
How do you make classes safer for versioning?
What's the real memory cost of using standard containers?
How can using const really optimize your code?
How does writing inline affect performance?
When does code that looks wrong actually compile and run perfectly, and why should you care?
What's wrong with the design of std::string?

Exceptional C++ Style will help you design, architect, and code with style--and achieve greater robustness and performance in all your C++ software.





Read more",d283abeeb34e26348a3109c0dc904e0471f4f6ed6a7b3cd951d5a39eec6db261,0201760428,978-0201760422,"August 2, 2004",amazon,"['C++ Programming Language', 'Microsoft Programming', 'Computer Software']","Exceptional C++ Style: 40 New Engineering Puzzles, Programming Problems, and Solutions",https://www.amazon.com/dp/0201760428,2004
"['Herb Sutter', 'Andrei Alexandrescu', 'John Fuller']","Consistent, high-quality coding standards improve software quality, reduce time-to-market, promote teamwork, eliminate time wasted on inconsequential matters, and simplify maintenance. Now, two of the world's most respected C++ experts distill the rich collective experience of the global C++ community into a set of coding standards that every developer and development team can understand and use as a basis for their own coding standards.

The authors cover virtually every facet of C++ programming: design and coding style, functions, operators, class design, inheritance, construction/destruction, copying, assignment, namespaces, modules, templates, genericity, exceptions, STL containers and algorithms, and more. Each standard is described concisely, with practical examples. From type definition to error handling, this book presents C++ best practices, including some that have only recently been identified and standardized-techniques you may not know even if you've used C++ for years. Along the way, you'll find answers to questions like

What's worth standardizing--and what isn't?
What are the best ways to code for scalability?
What are the elements of a rational error handling policy?
How (and why) do you avoid unnecessary initialization, cyclic, and definitional dependencies?
When (and how) should you use static and dynamic polymorphism together?
How do you practice ""safe"" overriding?
When should you provide a no-fail swap?
Why and how should you prevent exceptions from propagating across module boundaries?
Why shouldn't you write namespace declarations or directives in a header file?
Why should you use STL vector and string instead of arrays?
How do you choose the right STL search or sort algorithm?
What rules should you follow to ensure type-safe code?

Whether you're working alone or with others, C++ Coding Standards will help you write cleaner code--and write it faster, with fewer hassles and less frustration.




Read more",aae3cc60f81ecfa9f217dabad8b968ce37404ec7d3a1d838a5d49c971d120ab1,9780321113580,978-0321113580,"October 25, 2004",amazon,"['C++ Programming Language', 'Software Development', 'Computer Software']","C++ Coding Standards: 101 Rules, Guidelines, and Best Practices",https://www.amazon.com/dp/0321113586,2004
['Bjarne Stroustrup'],"The new C++11 standard allows programmers to express ideas more clearly, simply, and directly, and to write faster, more efficient code. Bjarne Stroustrup, the designer and original implementer of C++, has reorganized, extended, and completely rewritten his definitive reference and tutorial for programmers who want to use C++ most effectively.

The C++ Programming Language, Fourth Edition, delivers meticulous, richly explained, and integrated coverage of the entire language―its facilities, abstraction mechanisms, standard libraries, and key design techniques. Throughout, Stroustrup presents concise, “pure C++11” examples, which have been carefully crafted to clarify both usage and program design. To promote deeper understanding, the author provides extensive cross-references, both within the book and to the ISO standard.

New C++11 coverage includes

Support for concurrency
Regular expressions, resource management pointers, random numbers, and improved containers
General and uniform initialization, simplified for-statements, move semantics, and Unicode support
Lambdas, general constant expressions, control over class defaults, variadic templates, template aliases, and user-defined literals
Compatibility issues

Topics addressed in this comprehensive book include

Basic facilities: type, object, scope, storage, computation fundamentals, and more
Modularity, as supported by namespaces, source files, and exception handling
C++ abstraction, including classes, class hierarchies, and templates in support of a synthesis of traditional programming, object-oriented programming, and generic programming
Standard Library: containers, algorithms, iterators, utilities, strings, stream I/O, locales, numerics, and more
The C++ basic memory model, in depth

This fourth edition makes C++11 thoroughly accessible to programmers moving from C++98 or other languages, while introducing insights and techniques that even cutting-edge C++11 programmers will find indispensable.

This is a hardcover version of the Fourth Edition. Content in this hardcover and the paperback version is identical.

This book features an enhanced, layflat binding, which allows the book to stay open more easily when placed on a flat surface. This special binding method―noticeable by a small space inside the spine―also increases durability.

Read more",3f2ecfa33c7e61a9a79719394e3726e4988aa29a760d2b771ab7aab6d6ec21ad,027596776X,978-0321958327,"July 24, 2013",amazon,"['C++ Programming Language', 'Computer Programming Languages']","C++ Programming Language, The",https://www.amazon.com/dp/0321958322,2013
['Nicolai Josuttis'],,094f51bba087502ef9584a84b115fe33df6fe2986c6ad04b8b85083d3278ae6d,0321623215,978-0321623218,"March 30, 2012",amazon,"['C++ Programming Language', 'Computer Programming Languages']","C++ Standard Library, The: A Tutorial and Reference",https://www.amazon.com/dp/0321623215,2012
"['Angelika Langer', 'Klaus Kreft']","Provides a comprehensive description of, and reference to, the iostreams and locales classes, showing how to put them ot use and offering advanced information on customizing and extending their basic operation. DLC: C++ (Computer program language)
Read more",b03e9fec7d64bdfa4b011da3ec792afda7c7f2fe3ae87b0ac121c2724bc6fb1d,0201183951,978-0201183955,"January 1, 2000",amazon,"['C++ Programming Language', 'Computer Software', 'Mathematics']",Standard C++ Iostreams and Locales: Advanced Programmer's Guide and Reference,https://www.amazon.com/dp/0201183951,2000
['Nicolai M. Josuttis'],"All aspects of C++ Move Semantics.

Move semantics, introduced with C++11, has become a hallmark of modern C++ programming. However, it also complicates the language in many ways. Even after several years of support of move semantics experienced programmers struggle with all the details of move semantics. And style guides still don't recommend the right consequences for programming even of trivial classes. Time to explain all aspects of C++ move semantics in detail.

This book teaches C++ move semantics. Starting from the basic principles it motivates and explains all the corner cases of move semantics so that you as a programmer can use move semantics right. The book is valuable for those that are beginning to learn about move semantics and is essential for those that are using it already.

You will learn:

Motivation and terminology of move semantics
How and why you implicitly benefit from move semantics
How to explicitly benefit from move semantics
All traps and how to deal with them
All consequences for your programming style

The focus lies on the application of the described features in practice. Compelling examples and useful background information help to understand and improve code from trivial classes up to generic foundation libraries and frameworks.

""I thought I understood move semantics but I didn't really! I learned a lot in your book.""
(Jonathan Boccara)

""This is the book I’ve needed for a long time.""
(Rob Bernstein)

""Sometimes I think I have a better grasp on entanglement & quantum teleportation than I do in some weird C++ move semantics. To paraphrase Feynman: If you think you understand C++ move semantics, you don't understand C++ move semantics. Read this book.""
(Victor Ciura)

Read more",f13e92422a9be5cf224d7236c069700921c23af5b3b78477b3cc4964307dc057,3967309002,978-3967309003,"August 30, 2020",amazon,"['C++ Programming Language', 'Schools & Teaching']",C++ Move Semantics - The Complete Guide: First Edition,https://www.amazon.com/dp/3967309002,2020
['Ivan Cukic'],,56b9b87c4e67c56cb11aeae535d665a2337dc9c86e7e3f96c2c5e35bfaca8ee8,1617293814,978-1617293818,"November 19, 2018",amazon,"['C Programming Language', 'C++ Programming Language', 'Computer Programming Languages']",Functional Programming in C++: How to improve your C++ programs using functional techniques,https://www.amazon.com/dp/1617293814,2018
"['Björn Andrist', 'Viktor Sehr']",,2f61ddf3ce322925d50ef55de84b2bce50fe0e57b5c2d3754aa9ae4b6ea3937f,1839216549,978-1839216541,"December 21, 2020",amazon,"['Parallel Computer Programming', 'Memory Management Algorithms', 'C++ Programming Language']","C++ High Performance, Second Edition: Master the art of optimizing the functioning of your C++ code",https://www.amazon.com/dp/1839216549,2020
['Bill Blunden'],"Memory Management: Algorithms and Implementation in C/C++ presents several concrete implementations of garbage collection and explicit memory management algorithms. Every implementation is complemented by an in-depth presentation of theory, followed by benchmark tests, a complete listing of C/C++ source code, and a discussion of each implementation’s trade-offs.Find out how memory is managed at the hardware level by the processor. Discover the ways in which different operating systems take advantage of processor facilities to provide memory services via the system call interface. Understand how development libraries and run-time systems build upon the operating system services to manage memory on behalf of user applications. Learn about five complete memory management subsystems that utilize both explicit and automatic collection algorithms.
Read more",81c4c4fde5862b1e16a24f10e0ac595dac6efc61ba21b1ad3b098e4e6aa20fe0,1556223471,978-1556223471,"October 18, 2002",amazon,"['Memory Management Algorithms', 'C Programming Language', 'C++ Programming Language']",Memory Management Algorithms and Implementation in C/C++ (Windows Programming/Development),https://www.amazon.com/dp/1556223471,2002
['Antony Polukhin'],,184ddefbe27faaf5d551b02b97e13f6e17ebb16108c2cd5d828e140e43a01ff7,,,"August 30, 2017",amazon,"['Parallel Computer Programming', 'C++ Programming', 'C++ Programming Language']",Boost C++ Application Development Cookbook - Second Edition: Recipes to simplify your application development,https://www.amazon.com/dp/B06Y2WTZPR,2017
['Fedor G. Pikus'],,320ac7c1997cf0cdd377886983133d81a06a4d66ec99f789a5553ee196c21c7b,1800208111,978-1800208117,"October 22, 2021",amazon,"['C++ Programming Language', 'Computer Systems Analysis & Design', 'Software Development']",The Art of Writing Efficient Programs: An advanced programmer's guide to efficient hardware utilization and compiler optimizations using C++ examples,https://www.amazon.com/dp/1800208111,2021
